Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-70B,32,4096,32,1,end2end,5.417743240499999,24193.09926320973,1.4185517677385924,351.2353494864977
Llama2-70B,32,4096,32,1,prefill,0.6772179050624999,24193.09926320973,1.3731438883746807,339.9922967192029
Llama2-70B,32,4096,80,1,decoding,1.522298584625,188346.75594908348,0.5575238631421489,286.1297732317933
Llama2-70B,32,4096,80,1,end2end,1.7397698110000002,188346.75594908345,0.5553345546728174,285.00618664245195
Llama2-70B,32,4096,80,1,prefill,0.217471226375,188346.75594908345,0.5400093953874973,277.1410805170631
Llama2-7B,8,4096,1,8,decoding,1.2128333390833328,2955.063885948922,4.048852308609084,81.97384816587875
Llama2-7B,8,4096,1,8,end2end,1.3860952446666666,2955.063885948921,4.038473364754475,81.76371405803522
Llama2-7B,8,4096,1,8,prefill,0.1732619055833333,2955.063885948921,3.965820757772217,80.2927753031304
Llama2-7B,8,4096,2,4,decoding,1.1889075578333328,6029.064205011005,2.024426154304542,81.97384816587875
Llama2-7B,8,4096,2,4,end2end,1.3587514946666663,6029.064205011005,2.019236682377238,81.76371405803522
Llama2-7B,8,4096,2,4,prefill,0.1698439368333333,6029.064205011005,1.9829103788861089,80.2927753031304
Llama2-7B,8,4096,4,2,decoding,1.157006516166667,12390.59573103986,1.012213077152271,81.97384816587875
Llama2-7B,8,4096,4,2,end2end,1.3222931613333335,12390.595731039855,1.0096183411886188,81.76371405803522
Llama2-7B,8,4096,4,2,prefill,0.1652866451666667,12390.595731039855,0.9914551894430542,80.2927753031304
Llama2-7B,8,4096,8,1,decoding,1.0932044328333332,26227.48238011512,0.5061065385761355,81.97384816587875
Llama2-7B,8,4096,8,1,end2end,1.2493764946666668,26227.482380115125,0.5048091705943094,81.76371405803522
Llama2-7B,8,4096,8,1,prefill,0.1561720618333333,26227.482380115125,0.4957275947215271,80.2927753031304
Llama2-7B,8,4096,32,1,decoding,0.8013015591388888,143127.1394545249,0.1672930210280559,87.26813825146372
Llama2-7B,8,4096,32,1,end2end,0.9157732104444444,143127.1394545249,0.1669686790325994,87.09894576557092
Llama2-7B,8,4096,32,1,prefill,0.1144716513055555,143127.1394545249,0.1646982850644038,85.91459836432126
Llama2-7B,20,4096,1,20,decoding,1.6797929744999998,2133.5962552568703,10.12213077152271,204.93462041469687
Llama2-7B,20,4096,1,20,end2end,1.9197633994285712,2133.596255256871,10.096183411886187,204.4092851450881
Llama2-7B,20,4096,1,20,prefill,0.2399704249285714,2133.596255256871,9.914551894430542,200.731938257826
Llama2-7B,20,4096,2,10,decoding,1.6153398494999995,4437.456305073343,5.061065385761356,204.93462041469687
Llama2-7B,20,4096,2,10,end2end,1.8461026851428568,4437.456305073343,5.048091705943095,204.4092851450881
Llama2-7B,20,4096,2,10,prefill,0.2307628356428571,4437.456305073343,4.957275947215272,200.73193825782607
Llama2-7B,20,4096,4,5,decoding,1.555769537,9214.732426014843,2.5305326928806777,204.93462041469687
Llama2-7B,20,4096,4,5,end2end,1.778022328,9214.732426014843,2.524045852971548,204.4092851450881
Llama2-7B,20,4096,4,5,prefill,0.222252791,9214.732426014843,2.478637973607636,200.731938257826
Llama2-7B,20,4096,5,4,decoding,1.5362382870000002,11664.857041803434,2.024426154304542,204.93462041469687
Llama2-7B,20,4096,5,4,end2end,1.7557008994285717,11664.857041803436,2.019236682377238,204.4092851450881
Llama2-7B,20,4096,5,4,prefill,0.2194626124285714,11664.857041803436,1.9829103788861089,200.731938257826
Llama2-7B,20,4096,10,2,decoding,1.4542070369999998,24645.73412733389,1.012213077152271,204.93462041469687
Llama2-7B,20,4096,10,2,end2end,1.6619508994285712,24645.734127333897,1.0096183411886188,204.4092851450881
Llama2-7B,20,4096,10,2,prefill,0.2077438624285714,24645.734127333897,0.9914551894430542,200.731938257826
Llama2-7B,20,4096,20,1,decoding,1.2901445370000002,55559.66633527664,0.5061065385761355,204.93462041469687
Llama2-7B,20,4096,20,1,end2end,1.4744508994285717,55559.66633527666,0.5048091705943094,204.4092851450881
Llama2-7B,20,4096,20,1,prefill,0.1843063624285714,55559.66633527666,0.4957275947215271,200.731938257826
Llama2-7B,20,4096,32,1,decoding,0.7970406354999998,143892.28715804918,0.2774489682160483,166.73615878368284
Llama2-7B,20,4096,32,1,end2end,0.9109035834285713,143892.28715804918,0.2768002842251352,166.34632465452842
