Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,32,4096,1,32,decoding,6.9182375025,537.1540895190102,295.5112071782881,292.6551270037976
Llama2-7B,32,4096,1,32,end2end,7.545921900000001,572.1180937794795,294.876796826194,318.0331803717369
Llama2-7B,32,4096,1,32,prefill,0.6276843974999999,816.8661236027647,290.43592436153534,495.6795539473124
Llama2-7B,32,4096,2,16,decoding,6.879320613125,1080.8522869943888,171.6835112510493,328.99810086013576
Llama2-7B,32,4096,2,16,end2end,7.501445454999999,1151.7925511737851,171.06985878666444,355.4819165518878
Llama2-7B,32,4096,2,16,prefill,0.622124841875,1648.3744004295602,166.77429153597035,540.8686263941529
Llama2-7B,32,4096,4,8,decoding,6.944545417874998,2139.861393371192,100.02268026066308,370.9583380904406
Llama2-7B,32,4096,4,8,end2end,7.575988089,2278.373919579742,99.4194067401328,398.1045183081494
Llama2-7B,32,4096,4,8,prefill,0.631442671125,3247.9616030395973,95.19649209642094,588.1277798321112
Llama2-7B,32,4096,8,4,decoding,7.6671222182499985,3867.8353443870506,85.91929804564516,526.479229117327
Llama2-7B,32,4096,8,4,end2end,8.384863134,4098.487074425377,85.23840917330202,556.5783160870145
Llama2-7B,32,4096,8,4,prefill,0.7177409157499999,5713.049184693663,80.47218706689985,767.2719248748276
Llama2-7B,32,4096,16,2,decoding,9.07418205875,6500.370333364192,77.42452293512703,715.6441063846656
Llama2-7B,32,4096,16,2,end2end,9.959077498,6845.856776360592,76.58061915126711,744.8444982996206
Llama2-7B,32,4096,16,2,prefill,0.88489543925,9264.26187733538,70.67329266424758,949.2472417043064
Llama2-7B,32,4096,32,1,decoding,11.295636216125,10392.336676079349,76.35352520978701,934.6707243949036
Llama2-7B,32,4096,32,1,end2end,12.430174199,10899.225626774196,75.17964767533248,956.5902879465336
Llama2-7B,32,4096,32,1,prefill,1.134537982875,14447.44828163816,66.96250493415064,1110.0272328079452
